,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
157,しゃばけ,1026,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1657337%2F,江戸有数の薬種問屋の一粒種・一太郎は、めっぽう体が弱く外出もままならない。ところが目を盗んで出かけた夜に人殺しを目撃。以来、猟奇的殺人事件が続き、一太郎は家族同様の妖怪と解決に乗り出すことに。若だんなの周囲は、なぜか犬神、白沢、鳴家など妖怪だらけなのだ。その矢先、犯人の刃が一太郎を襲う…。愉快で不思議な大江戸人情推理帖。日本ファンタジーノベル大賞優秀賞。,693,4.07,文庫
158,がたん ごとん がたん ごとん,1022,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F268200%2F,,880,4.54,絵本
159,海辺のカフカ（下巻）,1020,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1768270%2F,四国の図書館に着いたカフカ少年が出会ったのは、３０年前のヒットソング、夏の海辺の少年の絵、１５歳の美しい少女ー。一方、猫と交流ができる老人ナカタさんも、ホシノ青年に助けられながら旅を続ける。“入り口の石”を見つけだし、世界と世界が結びあわされるはずの場所を探すために。謎のキーワードが二人を導く闇の世界に出口はあるのか？海外でも高い評価を受ける傑作長篇小説。,935,3.92,文庫
160,ぼくのメジャースプーン,1008,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6037768%2F,ぼくらを襲った事件はテレビのニュースよりもっとずっとどうしようもなくひどかったー。ある日、学校で起きた陰惨な事件。ぼくの幼なじみ、ふみちゃんはショックのあまり心を閉ざし、言葉を失った。彼女のため、犯人に対してぼくだけにできることがある。チャンスは本当に一度だけ。これはぼくの闘いだ。,968,4.15,文庫
161,夏の庭,1004,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1406095%2F,町外れに暮らすひとりの老人をぼくらは「観察」し始めた。生ける屍のような老人が死ぬ瞬間をこの目で見るために。夏休みを迎え、ぼくらの好奇心は日ごと高まるけれど、不思議と老人は元気になっていくようだー。いつしか少年たちの「観察」は、老人との深い交流へと姿を変え始めていたのだが…。喪われ逝くものと、決して失われぬものとに触れた少年たちを描く清新な物語。,539,4.12,文庫
162,星の王子さま,998,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3999934%2F,砂漠に飛行機で不時着した「僕」が出会った男の子。それは、小さな小さな自分の星を後にして、いくつもの星をめぐってから七番目の星・地球にたどり着いた王子さまだった…。一度読んだら必ず宝物にしたくなる、この宝石のような物語は、刊行後六十年以上たった今も、世界中でみんなの心をつかんで離さない。最も愛らしく毅然とした王子さまを、優しい日本語でよみがえらせた、新訳。,528,4.35,文庫
163,ストロベリーナイト,994,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5841703%2F,溜め池近くの植え込みから、ビニールシートに包まれた男の惨殺死体が発見された。警視庁捜査一課の警部補・姫川玲子は、これが単独の殺人事件で終わらないことに気づく。捜査で浮上した謎の言葉「ストロベリーナイト」が意味するものは？クセ者揃いの刑事たちとともに悪戦苦闘の末、辿り着いたのは、あまりにも衝撃的な事実だった。人気シリーズ、待望の文庫化始動。,733,3.74,文庫
164,暗いところで待ち合わせ,991,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1435747%2F,視力をなくし、独り静かに暮らすミチル。職場の人間関係に悩むアキヒロ。駅のホームで起きた殺人事件が、寂しい二人を引き合わせた。犯人として追われるアキヒロは、ミチルの家へ逃げ込み、居間の隅にうずくまる。他人の気配に怯えるミチルは、身を守るため、知らない振りをしようと決める。奇妙な同棲生活が始まったー。書き下ろし小説。,649,4.2,文庫
165,さよならドビュッシー,982,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6933132%2F,ピアニストからも絶賛！ドビュッシーの調べにのせて贈る、音楽ミステリー。ピアニストを目指す遙、１６歳。祖父と従姉妹とともに火事に遭い、ひとりだけ生き残ったものの、全身大火傷の大怪我を負う。それでもピアニストになることを固く誓い、コンクール優勝を目指して猛レッスンに励む。ところが周囲で不吉な出来事が次々と起こり、やがて殺人事件まで発生するー。第８回『このミス』大賞受賞作品。,618,3.83,文庫
166,卒業,981,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F352708%2F,,649,3.43,文庫
167,シルクのべっぴん塾,980,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6521122%2F,うわさ年齢５０才！年齢不詳の美しさの秘密がこの一冊に！１日１０分。お金も時間もなくてＯＫ誰でも簡単にキレイになれます。,1257,4.29,単行本
168,マスカレード・ホテル,974,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11264632%2F,不可解な連続殺人事件の次の犯行現場は、超一流ホテル。容疑者も、ターゲットも不明。事件解決のため、一人の男が選ばれた。完璧に化けろ。決して見破られるな。,1760,4.0,単行本
169,テルマエ・ロマエ（1）,971,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6219412%2F,,748,4.28,コミック
170,生物と無生物のあいだ,964,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4399178%2F,生きているとはどういうことかー謎を解くカギはジグソーパズルにある！？分子生物学がたどりついた地平を平易に明かし、目に映る景色をガラリと変える。,968,4.09,新書
171,少女,963,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11526318%2F,親友の自殺を目撃したことがあるという転校生の告白を、ある種の自慢のように感じた由紀は、自分なら死体ではなく、人が死ぬ瞬間を見てみたいと思った。自殺を考えたことのある敦子は、死体を見たら、死を悟ることができ、強い自分になれるのではないかと考える。ふたりとも相手には告げずに、それぞれ老人ホームと小児科病棟へボランティアに行くー死の瞬間に立ち合うために。高校２年の少女たちの衝撃的な夏休みを描く長編ミステリー。,680,3.72,文庫
172,モモ,959,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3583804%2F,町はずれの円形劇場あとにまよいこんだ不思議な少女モモ。町の人たちはモモに話を聞いてもらうと、幸福な気もちになるのでした。そこへ、「時間どろぼう」の男たちの魔の手が忍び寄ります…。「時間」とは何かを問う、エンデの名作。小学５・６年以上。,880,4.47,全集・双書
173,ロスジェネの逆襲（ドラマ「半沢直樹」原作）,958,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11699044%2F,ときは２００４年。銀行の系列子会社東京セントラル証券の業績は鳴かず飛ばず。そこにＩＴ企業の雄、電脳雑伎集団社長から、ライバルの東京スパイラルを買収したいと相談を受ける。アドバイザーの座に就けば、巨額の手数料が転がり込んでくるビッグチャンスだ。ところが、そこに親会社である東京中央銀行から理不尽な横槍が入る。責任を問われて窮地に陥った主人公の半沢直樹は、部下の森山雅弘とともに、周囲をアッといわせる秘策に出たー。直木賞作家による、企業を舞台にしたエンタテインメント小説の傑作！,1650,4.41,単行本
174,空中ブランコ,954,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5309981%2F,伊良部総合病院地下の神経科には、跳べなくなったサーカスの空中ブランコ乗り、尖端恐怖症のやくざなど、今日も悩める患者たちが訪れる。だが色白でデブの担当医・伊良部一郎には妙な性癖が…。この男、泣く子も黙るトンデモ精神科医か、はたまた病める者は癒やされる名医か！？直木賞受賞、絶好調の大人気シリーズ第２弾。,682,4.11,文庫
175,キッチン,952,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F979255%2F,家族という、確かにあったものが年月の中でひとりひとり減っていって、自分がひとりここにいるのだと、ふと思い出すと目の前にあるものがすべて、うそに見えてくるー。唯一の肉親の祖母を亡くしたみかげが、祖母と仲の良かった雄一とその母（実は父親）の家に同居する。日々のくらしの中、何気ない二人の優しさにみかげは孤独な心を和ませていくのだが…。世界二十五国で翻訳され、読みつがれる永遠のベスト・セラー小説。泉鏡花文学賞受賞。,440,4.2,文庫
176,分身,946,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F830014%2F,函館市生まれの氏家鞠子は１８歳。札幌の大学に通っている。最近、自分にそっくりな女性がテレビ出演していたと聞いたー。小林双葉は東京の女子大生で２０歳。アマチュアバンドの歌手だが、なぜか母親からテレビ出演を禁止される。鞠子と双葉、この二人を結ぶものは何か？現代医学の危険な領域を描くサスペンス長篇。,946,3.89,文庫
177,羊と鋼の森,941,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13351056%2F,ゆるされている。世界と調和している。それがどんなに素晴らしいことか。言葉で伝えきれないなら、音で表せるようになればいい。ピアノの調律に魅せられた一人の青年。彼が調律師として、人として成長する姿を温かく静謐な筆致で綴った、祝福に満ちた長編小説。,1650,4.05,単行本
178,自分の小さな「箱」から脱出する方法,937,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4160816%2F,,1760,4.32,単行本
179,その女アレックス,935,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12880230%2F,おまえが死ぬのを見たいー男はそう言ってアレックスを監禁した。檻に幽閉され、衰弱した彼女は、死を目前に脱出を図るが…しかし、ここまでは序章にすぎない。孤独な女アレックスの壮絶なる秘密が明かされるや、物語は大逆転を繰り返し、最後に待ち受ける慟哭と驚愕へと突進するのだ。イギリス推理作家協会賞受賞作。,946,3.92,文庫
180,クジラの彼,931,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6520445%2F,『元気ですか？浮上したら漁火がきれいだったので送ります』彼からの２ヶ月ぶりのメールはそれだけだった。聡子が出会った冬原は潜水艦乗り。いつ出かけてしまうか、いつ帰ってくるのかわからない。そんなクジラの彼とのレンアイには、いつも７つの海が横たわる…。表題作はじめ、『空の中』『海の底』の番外編も収録した、男前でかわいい彼女たちの６つの恋。有川浩がおくる制服ラブコメシリーズ第１弾。,607,4.17,文庫
181,空飛ぶ広報室,930,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11782758%2F,元・戦闘機Ｐ（ファイターパイロット・２９歳）ｍｅｅｔｓどん詰まりの美人テレビＤ（ディレクター）。Ｅ★エブリスタ連載に、「あの日の松島」を書き下ろした待望のドラマティック長篇。,1760,4.21,単行本
182,ONE PIECE 55,927,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6149145%2F,,484,4.83,コミック
183,これからの「正義」の話をしよう,924,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6489120%2F,哲学は、机上の空論では断じてない。金融危機、経済格差、テロ、戦後補償といった、現代世界を覆う無数の困難の奥には、つねにこうした哲学・倫理の問題が潜んでいる。この問題に向き合うことなしには、よい社会をつくり、そこで生きることはできない。アリストテレス、ロック、カント、ベンサム、ミル、ロールズ、そしてノージックといった古今の哲学者たちは、これらにどう取り組んだのだろう。彼らの考えを吟味することで、見えてくるものがきっとあるはずだ。ハーバード大学史上空前の履修者数を記録しつづける、超人気講義「Ｊｕｓｔｉｃｅ（正義）」をもとにした全米ベストセラー、待望の邦訳。,2530,4.05,単行本
184,もこもこもこ,920,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1761459%2F,,1430,4.58,絵本
185,鴨川ホルモー,919,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5985256%2F,このごろ都にはやるもの、勧誘、貧乏、一目ぼれ。葵祭の帰り道、ふと渡されたビラ一枚。腹を空かせた新入生、文句に誘われノコノコと、出向いた先で見たものは、世にも華麗な女（鼻）でした。このごろ都にはやるもの、協定、合戦、片思い。祇園祭の宵山に、待ち構えるは、いざ「ホルモー」。「ホルモン」ではない、是れ「ホルモー」。戦いのときは訪れて、大路小路にときの声。恋に、戦に、チョンマゲに、若者たちは闊歩して、魑魅魍魎は跋扈する。京都の街に巻き起こる、疾風怒涛の狂乱絵巻。都大路に鳴り響く、伝説誕生のファンファーレ。前代未聞の娯楽大作、碁盤の目をした夢芝居。「鴨川ホルモー」ここにあり。,616,4.07,文庫
186,楽園のカンヴァス,917,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12805595%2F,ニューヨーク近代美術館のキュレーター、ティム・ブラウンはある日スイスの大邸宅に招かれる。そこで見たのは巨匠ルソーの名作「夢」に酷似した絵。持ち主は正しく真贋判定した者にこの絵を譲ると告げ、手がかりとなる謎の古書を読ませる。リミットは７日間。ライバルは日本人研究者・早川織絵。ルソーとピカソ、二人の天才がカンヴァスに篭めた想いとはー。山本周五郎賞受賞作。,781,4.36,文庫
187,伝え方が9割,917,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12171241%2F,なぜ、伝え方で結果が変わるのか？この本で学べば、あなたのコトバが一瞬で強くなり、人生が変わります。,1540,3.8,単行本
188,ぐりとぐら,917,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F119896%2F,,990,4.66,絵本
189,重力ピエロ,916,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1550669%2F,連続放火事件の現場に残された謎のグラフィティアート。無意味な言葉の羅列に見える落書きは、一体何を意味するのか？キーワードは、放火と落書きと遺伝子のルール。とある兄弟の物語。,1650,3.99,単行本
190,レバレッジ・リーディング,914,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4175228%2F,なぜ「速読」より「多読」なのか？訓練不要であなたの思考が劇的に変わる。１日１冊のビジネス書を効率的・戦略的に読みこなす投資としての読書法。,1595,3.95,単行本
191,「だるまさん」シリーズ 3冊ケース入り,912,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6180027%2F,,2805,4.76,絵本
192,ダ・ヴィンチ・コード（下）,909,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3983662%2F,ティービング邸で暗号解読の末、彼らが辿り着いたのは、ダ・ヴィンチが英知の限りを尽くしてメッセージを描き込んだ“最後の晩餐”だった。そしてついに、幾世紀も絵の中に秘され続けてきた驚愕の事実が、全貌を現した！祖父の秘密とその真実をようやく理解したソフィーは、二人と共に、最後の鍵を解くため、イギリスへ飛ぶー。キリスト教の根幹を揺るがし、ヨーロッパの歴史を塗り替えた世紀の大問題作。,660,4.39,文庫
193,下町ロケット,905,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12576031%2F,研究者の道をあきらめ、家業の町工場・佃製作所を継いだ佃航平は、製品開発で業績を伸ばしていた。そんなある日、商売敵の大手メーカーから理不尽な特許侵害で訴えられる。圧倒的な形勢不利の中で取引先を失い、資金繰りに窮する佃製作所。創業以来のピンチに、国産ロケットを開発する巨大企業・帝国重工が、佃製作所が有するある部品の特許技術に食指を伸ばしてきた。特許を売れば窮地を脱することができる。だが、その技術には、佃の夢が詰まっていたー。男たちの矜恃が激突する感動のエンターテインメント長編！第１４５回直木賞受賞作。,792,4.48,文庫
194,使命と魂のリミット,904,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6287523%2F,「医療ミスを公表しなければ病院を破壊する」突然の脅迫状に揺れる帝都大学病院。「隠された医療ミスなどない」と断言する心臓血管外科の権威・西園教授。しかし、研修医・氷室夕紀は、その言葉を鵜呑みにできなかった。西園が執刀した手術で帰らぬ人となった彼女の父は、意図的に死に至らしめられたのではという疑念を抱いていたからだ…。あの日、手術室で何があったのか？今日、何が起こるのか？大病院を前代未聞の危機が襲う。,792,4.11,文庫
195,漫画　君たちはどう生きるか,904,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15096110%2F,,1430,4.01,単行本
196,君の膵臓をたべたい,903,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13280442%2F,偶然、僕が拾った１冊の文庫本。それはクラスメイトである山内桜良が綴った、秘密の日記帳だったー圧倒的デビュー作！,1540,3.89,単行本
197,風の歌を聴け,901,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1709069%2F,一九七〇年の夏、海辺の街に帰省した“僕”は、友人の“鼠”とビールを飲み、介抱した女の子と親しくなって、退屈な時を送る。二人それぞれの愛の屈託をさりげなく受けとめてやるうちに、“僕”の夏はものうく、ほろ苦く過ぎさっていく。青春の一片を乾いた軽快なタッチで捉えた出色のデビュー作。群像新人賞受賞。,495,3.71,文庫
198,ビブリア古書堂の事件手帖4　栞子さんと二つの顔,900,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12175835%2F,珍しい古書に関係する、特別な相談ー謎めいた依頼に、ビブリア古書堂の二人は鎌倉の雪ノ下へ向かう。その家には驚くべきものが待っていた。稀代の探偵、推理小説作家江戸川乱歩の膨大なコレクション。それを譲る代わりに、ある人物が残した精巧な金庫を開けてほしいと持ち主は言う。金庫の謎には乱歩作品を取り巻く人々の数奇な人生が絡んでいた。そして、深まる謎はあの人物までも引き寄せる。美しき女店主とその母、謎解きは二人の知恵比べの様相を呈してくるのだがー。,715,4.02,文庫
199,六番目の小夜子,898,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1311591%2F,津村沙世子ーとある地方の高校にやってきた、美しく謎めいた転校生。高校には十数年間にわたり、奇妙なゲームが受け継がれていた。三年に一度、サヨコと呼ばれる生徒が、見えざる手によって選ばれるのだ。そして今年は、「六番目のサヨコ」が誕生する年だった。学園生活、友情、恋愛。やがては失われる青春の輝きを美しい水晶に封じ込め、漆黒の恐怖で包みこんだ、伝説のデビュー作。,693,3.63,文庫
200,オレたち花のバブル組,898,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6887223%2F,「バブル入社組」世代の苦悩と闘いを鮮やかに描く。巨額損失を出した一族経営の老舗ホテルの再建を押し付けられた、東京中央銀行の半沢直樹。銀行内部の見えざる敵の暗躍、金融庁の「最強のボスキャラ」との対決、出向先での執拗ないじめ。四面楚歌の状況で、絶対に負けられない男達の一発逆転はあるのか。,770,4.25,文庫
201,東京島,897,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6462693%2F,清子は、暴風雨により、孤島に流れついた。夫との酔狂な世界一周クルーズの最中のこと。その後、日本の若者、謎めいた中国人が漂着する。三十一人、その全てが男だ。救出の見込みは依然なく、夫・隆も喪った。だが、たったひとりの女には違いない。求められ争われ、清子は女王の悦びに震えるー。東京島と名づけられた小宇宙に産み落とされた、新たな創世紀。谷崎潤一郎賞受賞作。,693,3.23,文庫
202,流星の絆,895,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11152138%2F,何者かに両親を惨殺された三兄妹は、流れ星に仇討ちを誓う。１４年後、互いのことだけを信じ、世間を敵視しながら生きる彼らの前に、犯人を突き止める最初で最後の機会が訪れる。三人で完璧に仕掛けはずの復讐計画。その最大の誤算は、妹の恋心だった。涙があふれる衝撃の真相。著者会心の新たな代表作。,1012,4.18,文庫
203,頭のいい子を育てるおはなし366,893,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11439750%2F,日本や世界の昔話はもちろん、子どもたちが一生のうちに必ず出会いたい名作を、網羅。,2530,4.39,単行本
204,美木良介のロングブレスダイエット必やせ最強ブレスプログラム,892,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11695324%2F,,1760,4.1,単行本
205,青の炎,891,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1495489%2F,櫛森秀一は、湘南の高校に通う十七歳。女手一つで家計を担う母と素直で明るい妹との三人暮らし。その平和な家庭の一家団欒を踏みにじる闖入者が現れた。母が十年前、再婚しすぐに別れた男、曾根だった。曾根は秀一の家に居座って傍若無人に振る舞い、母の体のみならず妹にまで手を出そうとしていた。警察も法律も家族の幸せを取り返してはくれないことを知った秀一は決意する。自らの手で曾根を葬り去ることを…。完全犯罪に挑む少年の孤独な戦い。その哀切な心象風景を精妙な筆致で描き上げた、日本ミステリー史に残る感動の名作。,836,4.13,文庫
206,文庫版　姑獲鳥の夏,890,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1001595%2F,この世には不思議なことなど何もないのだよー古本屋にして陰陽師が憑物を落とし事件を解きほぐす人気シリーズ第一弾。東京・雑司ケ谷の医院に奇怪な噂が流れる。娘は二十箇月も身籠ったままで、その夫は密室から失踪したという。文士・関口や探偵・榎木津らの推理を超え噂は意外な結末へ。,1012,4.19,文庫
207,入社1年目の教科書,887,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11166340%2F,新人もベテランも今日から変わる一生使える５０の指針。仕事のやり方が変わると、見える世界も変わる。,1571,4.02,単行本
208,ゼロ,885,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12475312%2F,堀江貴文はなぜ、逮捕され、すべてを失っても、希望を捨てないのか？ふたたび「ゼロ」となって、なにかを演じる必要もなくなった堀江氏がはじめて素直に、ありのままの心で語る、「働くこと」の意味と、そこから生まれる「希望」について。,1540,4.22,単行本
209,きみはポラリス,885,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6983719%2F,どうして恋に落ちたとき、人はそれを恋だと分かるのだろう。三角関係、同性愛、片想い、禁断の愛…言葉でいくら定義しても、この地球上にどれひとつとして同じ関係性はない。けれど、人は生まれながらにして、恋を恋だと知っているー。誰かをとても大切に思うとき放たれる、ただひとつの特別な光。カタチに囚われずその光を見出し、感情の宇宙を限りなく広げる、最強の恋愛小説集。,737,3.46,文庫
210,フィッシュストーリー,872,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6244670%2F,最後のレコーディングに臨んだ、売れないロックバンド。「いい曲なんだよ。届けよ、誰かに」テープに記録された言葉は、未来に届いて世界を救う。時空をまたいでリンクした出来事が、胸のすくエンディングへと一閃に向かう瞠目の表題作ほか、伊坂ワールドの人気者・黒澤が大活躍の「サクリファイス」「ポテチ」など、変幻自在の筆致で繰り出される中篇四連打。爽快感溢れる作品集。,693,3.79,文庫
211,星を継ぐもの,871,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F84588%2F,,770,4.29,文庫
