,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
10,白夜行,2701,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1444068%2F,１９７３年、大阪の廃墟ビルで一人の質屋が殺された。容疑者は次々に浮かぶが、結局、事件は迷宮入りする。被害者の息子・桐原亮司と、「容疑者」の娘・西本雪穂ー暗い眼をした少年と、並外れて美しい少女は、その後、全く別々の道を歩んで行く。二人の周囲に見え隠れする、幾つもの恐るべき犯罪。だが、何も「証拠」はない。そして十九年…。息詰まる精緻な構成と、叙事詩的スケール。心を失った人間の悲劇を描く、傑作ミステリー長篇。,1430,4.37,文庫
11,夜は短し歩けよ乙女,2674,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5940339%2F,「黒髪の乙女」にひそかに想いを寄せる「先輩」は、夜の先斗町に、下鴨神社の古本市に、大学の学園祭に、彼女の姿を追い求めた。けれど先輩の想いに気づかない彼女は、頻発する“偶然の出逢い”にも「奇遇ですねえ！」と言うばかり。そんな２人を待ち受けるのは、個性溢れる曲者たちと珍事件の数々だった。山本周五郎賞を受賞し、本屋大賞２位にも選ばれた、キュートでポップな恋愛ファンタジーの傑作。,616,4.04,文庫
12,嫌われる勇気,2564,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12570589%2F,本書は、フロイト、ユングと並び「心理学の三大巨頭」と称される、アルフレッド・アドラーの思想（アドラー心理学）を、「青年と哲人の対話篇」という物語形式を用いてまとめた一冊です。欧米で絶大な支持を誇るアドラー心理学は、「どうすれば人は幸せに生きることができるか」という哲学的な問いに、きわめてシンプルかつ具体的な“答え”を提示します。この世界のひとつの真理とも言うべき、アドラーの思想を知って、あなたのこれからの人生はどう変わるのか？もしくは、なにも変わらないのか…。さあ、青年と共に「扉」の先へと進みましょうー。,1650,4.32,単行本
13,重力ピエロ,2535,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4072332%2F,兄は泉水、二つ下の弟は春、優しい父、美しい母。家族には、過去に辛い出来事があった。その記憶を抱えて兄弟が大人になった頃、事件は始まる。連続放火と、火事を予見するような謎のグラフィティアートの出現。そしてそのグラフィティアートと遺伝子のルールの奇妙なリンク。謎解きに乗り出した兄が遂に直面する圧倒的な真実とはー。溢れくる未知の感動、小説の奇跡が今ここに。,825,3.95,文庫
14,続・体脂肪計タニタの社員食堂,2433,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6787478%2F,社員だけでなく読者もやせた。野菜たっぷり、カロリーと塩分ひかえめの料理に魚料理をぐんと増やしたレシピ３０と、赤ちょうちんレシピ２２を紹介。,1257,4.29,単行本
15,容疑者Xの献身,2425,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5813590%2F,天才数学者でありながら不遇な日日を送っていた高校教師の石神は、一人娘と暮らす隣人の靖子に秘かな想いを寄せていた。彼女たちが前夫を殺害したことを知った彼は、二人を救うため完全犯罪を企てる。だが皮肉にも、石神のかつての親友である物理学者の湯川学が、その謎に挑むことになる。ガリレオシリーズ初の長篇、直木賞受賞作。,770,4.45,文庫
16,手紙,2419,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4149007%2F,強盗殺人の罪で服役中の兄、剛志。弟・直貴のもとには、獄中から月に一度、手紙が届く…。しかし、進学、恋愛、就職と、直貴が幸せをつかもうとするたびに、「強盗殺人犯の弟」という運命が立ちはだかる苛酷な現実。人の絆とは何か。いつか罪は償えるのだろうか。犯罪加害者の家族を真正面から描き切り、感動を呼んだ不朽の名作。,792,4.24,文庫
17,オーデュボンの祈り,2413,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1618803%2F,コンビニ強盗に失敗し逃走していた伊藤は、気付くと見知らぬ島にいた。江戸以来外界から遮断されている“荻島”には、妙な人間ばかりが住んでいた。嘘しか言わない画家、「島の法律として」殺人を許された男、人語を操り「未来が見える」カカシ。次の日カカシが殺される。無残にもバラバラにされ、頭を持ち去られて。未来を見通せるはずのカカシは、なぜ自分の死を阻止出来なかったのか？卓越したイメージ喚起力、洒脱な会話、気の利いた警句、抑えようのない才気がほとばしる！第五回新潮ミステリー倶楽部賞を受賞した伝説のデビュー作、待望の文庫化。,825,4.04,文庫
18,［日めくり］まいにち、修造！ 心を元気にする本気の応援メッセージ,2293,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12908957%2F,,1100,4.42,ムックその他
19,ビブリア古書堂の事件手帖　〜栞子さんと奇妙な客人たち〜,2233,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11123596%2F,鎌倉の片隅でひっそりと営業をしている古本屋「ビブリア古書堂」。そこの店主は古本屋のイメージに合わない若くきれいな女性だ。残念なのは、初対面の人間とは口もきけない人見知り。接客業を営む者として心配になる女性だった。だが、古書の知識は並大低ではない。人に対してと真逆に、本には人一倍の情熱を燃やす彼女のもとには、いわくつきの古書が持ち込まれることも、彼女は古書にまつわる謎と秘密を、まるで見てきたかのように解き明かしていく。これは“古書と秘密”の物語。,715,3.78,文庫
20,アヒルと鴨のコインロッカー,2208,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4257115%2F,引っ越してきたアパートで出会ったのは、悪魔めいた印象の長身の青年。初対面だというのに、彼はいきなり「一緒に本屋を襲わないか」と持ちかけてきた。彼の標的はーたった一冊の広辞苑！？そんなおかしな話に乗る気などなかったのに、なぜか僕は決行の夜、モデルガンを手に書店の裏口に立ってしまったのだ！注目の気鋭が放つ清冽な傑作。第２５回吉川英治文学新人賞受賞作。,712,4.1,文庫
21,【バーゲン本】わくわく！おうたえほんー音のでるえほん,2197,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12332525%2F,,1100,4.63,絵本
22,夜のピクニック,2176,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4099707%2F,高校生活最後を飾るイベント「歩行祭」。それは全校生徒が夜を徹して８０キロ歩き通すという、北高の伝統行事だった。甲田貴子は密かな誓いを胸に抱いて歩行祭にのぞんだ。三年間、誰にも言えなかった秘密を清算するためにー。学校生活の思い出や卒業後の夢などを語らいつつ、親友たちと歩きながらも、貴子だけは、小さな賭けに胸を焦がしていた。本屋大賞を受賞した永遠の青春小説。,825,4.1,文庫
23,博士の愛した数式,2132,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1793912%2F,「ぼくの記憶は８０分しかもたない」博士の背広の袖には、そう書かれた古びたメモが留められていたー記憶力を失った博士にとって、私は常に“新しい”家政婦。博士は“初対面”の私に、靴のサイズや誕生日を尋ねた。数字が博士の言葉だった。やがて私の１０歳の息子が加わり、ぎこちない日々は驚きと歓びに満ちたものに変わった。あまりに悲しく暖かい、奇跡の愛の物語。第１回本屋大賞受賞。,649,4.24,文庫
24,秘密,2126,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1339839%2F,妻・直子と小学５年生の娘・藻奈美を乗せたバスが崖から転落。妻の葬儀の夜、意識を取り戻した娘の体に宿っていたのは、死んだはずの妻だった。その日から杉田家の切なく奇妙な“秘密”の生活が始まった。映画「秘密」の原作であり、９８年度のベストミステリーとして話題をさらった長篇、ついに文庫化。,836,4.26,文庫
25,死神の精度,2124,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5402134%2F,ＣＤショップに入りびたり、苗字が町や市の名前であり、受け答えが微妙にずれていて、素手で他人に触ろうとしないーそんな人物が身近に現れたら、死神かもしれません。一週間の調査ののち、対象者の死に可否の判断をくだし、翌八日目に死は実行される。クールでどこか奇妙な死神・千葉が出会う六つの人生。,748,4.11,文庫
26,心を整える。,2044,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11116540%2F,プロサッカー選手初の自己啓発書。誰もが実践できるメンタル術！心は鍛えるものではなく、整えるもの。いかなる時も安定した心を備えることが、常に力と結果を出せる秘訣だ。,1430,4.32,単行本
27,1Q84（BOOK1（4月ー6月））,2018,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6047814%2F,「こうであったかもしれない」過去が、その暗い鏡に浮かび上がらせるのは、「そうではなかったかもしれない」現在の姿だ。書き下ろし長編小説。,1980,4.1,単行本
28,風の谷のナウシカ（7巻セット）,2011,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1606052%2F,,3443,4.72,コミック
29,謎解きはディナーのあとで,2001,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6580613%2F,「失礼ながら、お嬢様の目は節穴でございますか？」令嬢刑事と毒舌執事が難事件に挑戦。ユーモアたっぷりの本格ミステリ。,1650,3.04,単行本
30,しろくまちゃんのほっとけーき,2000,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F208362%2F,,880,4.69,絵本
31,思考の整理学,1967,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F217193%2F,アイディアが軽やかに離陸し、思考がのびのびと大空を駆けるには？自らの体験に則し、独自の思考のエッセンスを明快に開陳する、恰好の入門書。,572,3.94,文庫
32,1Q84（BOOK3（10月ー12月））,1965,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6286991%2F,そこは世界にただひとつの完結した場所だった。どこまでも孤立しながら、孤独に染まることのない場所だった。,2090,4.05,単行本
33,どうぞのいす,1959,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F66219%2F,,1100,4.65,絵本
34,色彩を持たない多崎つくると、彼の巡礼の年,1943,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12249383%2F,良いニュースと悪いニュースがある。多崎つくるにとって駅をつくることは、心を世界につなぎとめておくための営みだった。あるポイントまでは…。,1870,3.81,単行本
